時間戳記,分析對象,您/對方的星座,耐性,脾氣暴躁,幼稚,頑固,心思細膩,保守,冷靜,樂觀,活潑,公正,優柔寡斷,強勢,浪漫,過度理想化,斤斤計較,心機重,完美主義,愛計仇,與眾不同,愛面子,有魅力,正義感,重視友情,專情,愛哭,顧家,體貼,情緒化,口才,創意,對表單有什麼建議或想法嗎？,潔癖
2017/12/27 上午 1:05:37,我本人,天秤座,2,1,1,2,1,5,4,2,4,4,2,4,1,1,3,1,4,2,5,4,5,5,3,5,3,2,3,5,5,4,好好玩!不知道我是什麼星座的呢？,
2017/12/27 上午 1:07:01,我本人,雙子座,2,4,4,2,3,2,3,3,3,3,5,2,3,2,2,4,2,2,2,4,3,4,4,2,2,4,3,2,2,2,,
2017/12/27 上午 1:09:42,我本人,雙魚座,4,4,3,5,4,5,2,4,1,4,5,3,4,2,4,3,4,4,2,4,2,4,2,5,5,5,4,4,2,3,填起來需要恥力(?,
2017/12/27 上午 1:14:19,他人,雙子座,5,1,5,4,5,1,1,2,1,3,5,3,1,1,5,4,4,4,1,5,2,2,4,5,1,5,3,1,2,4,,
2017/12/27 上午 1:15:40,他人,獅子座,1,5,2,2,2,2,1,1,4,1,1,4,3,4,5,1,2,1,1,5,4,2,2,5,2,5,4,5,2,2,填別人好好玩喔XD,
2017/12/27 上午 1:21:57,他人,天秤座,1,2,5,2,5,5,4,1,2,4,4,5,2,4,2,4,5,4,5,4,4,2,4,2,2,2,2,4,4,5,,
2017/12/27 上午 1:36:25,我本人,獅子座,4,4,3,2,3,5,4,5,4,3,3,1,4,2,3,2,2,3,3,5,4,3,3,5,3,5,5,3,3,4,,
2017/12/27 上午 2:08:19,他人,天秤座,2,5,2,4,4,3,1,1,4,4,3,5,4,1,3,3,5,2,5,4,3,4,3,5,4,3,2,4,5,5,,
2017/12/27 下午 11:01:21,我本人,雙魚座,2,2,4,2,5,4,4,2,4,2,4,2,5,5,4,4,3,4,3,3,2,4,4,2,4,4,4,5,3,4,,2
2017/12/27 下午 11:07:47,他人,雙子座,5,1,5,1,5,4,4,3,5,3,3,2,4,2,4,4,4,3,4,2,5,3,5,3,4,4,5,3,5,5,,3
2017/12/28 下午 9:22:42,我本人,巨蟹座,3,2,3,3,4,4,3,2,2,4,3,2,3,3,3,3,5,3,4,4,3,4,4,3,3,4,4,4,3,4,,4
2017/12/29 上午 12:50:57,我本人,牡羊座,3,3,4,4,3,2,3,3,4,4,4,3,1,4,2,2,5,3,4,5,3,5,5,4,4,4,3,4,4,4,,4
2017/12/29 上午 12:50:51,我本人,天秤座,2,3,1,5,3,1,1,2,3,5,5,1,3,5,2,1,4,5,4,5,4,5,5,4,3,1,3,5,4,5,,2
2017/12/29 上午 12:51:31,我本人,天蠍座,2,3,2,4,3,4,3,4,4,3,5,4,3,3,4,4,3,5,3,4,3,3,4,4,3,3,3,4,4,3,,3
2017/12/29 上午 12:52:06,我本人,天秤座,3,3,3,2,3,3,4,3,4,3,5,3,3,3,4,3,2,2,3,3,3,3,5,4,5,3,4,3,3,4,,2
2017/12/29 上午 12:52:09,我本人,天秤座,1,5,1,2,3,5,4,2,4,4,3,4,1,1,3,1,4,2,5,4,4,5,3,5,3,3,2,4,5,5,good,2
2017/12/29 上午 12:52:10,我本人,金牛座,4,3,3,3,4,3,3,3,2,3,3,2,2,2,3,2,4,3,3,3,2,2,4,4,3,3,4,3,2,2,,3
2017/12/29 上午 12:53:02,我本人,處女座,3,4,4,5,3,3,4,3,3,3,5,3,5,4,4,4,4,5,3,3,2,3,5,4,5,3,4,5,4,3,,4
2017/12/29 上午 12:53:04,我本人,射手座,2,4,3,1,1,4,4,3,4,3,3,3,3,4,4,2,2,4,3,4,3,3,4,3,2,3,3,2,4,3,,3
2017/12/29 上午 12:53:11,我本人,巨蟹座,4,3,1,4,4,4,3,3,3,4,3,2,4,4,4,1,3,2,3,5,3,4,4,5,4,5,4,5,3,4,,2
2017/12/29 上午 12:53:12,我本人,處女座,1,4,3,3,5,3,2,2,3,3,5,4,4,3,2,1,4,1,3,3,3,3,4,3,5,3,3,5,4,3,,1
2017/12/29 上午 12:53:20,我本人,雙子座,3,2,2,4,3,3,3,4,4,3,3,3,3,3,3,3,4,2,3,3,3,3,4,3,2,3,3,3,3,3,我猜大部分應該都是選3居多😂,4
2017/12/29 上午 12:53:33,我本人,巨蟹座,2,2,2,4,3,2,3,2,3,3,5,2,2,4,3,2,1,2,4,5,1,3,4,5,5,4,5,5,2,1,,2
2017/12/29 上午 12:53:36,他人,牡羊座,5,5,4,3,5,5,5,5,4,5,3,5,5,3,5,1,5,2,3,3,5,5,5,5,1,4,5,2,5,4,沒有,4
2017/12/29 上午 12:53:54,我本人,雙魚座,3,4,1,2,3,2,3,4,5,4,3,1,5,5,4,3,1,3,5,4,3,4,4,4,5,3,4,5,3,4,加油,2
2017/12/29 上午 12:54:06,我本人,牡羊座,5,5,3,5,5,3,5,5,5,5,1,5,3,3,4,5,4,3,5,5,4,4,3,4,1,3,3,5,4,4,,3
2017/12/29 上午 12:54:17,我本人,金牛座,4,2,5,3,3,3,3,5,4,4,1,4,4,2,4,3,4,4,4,4,4,4,4,5,4,4,4,2,4,3,,4
2017/12/29 上午 12:54:31,我本人,巨蟹座,4,3,4,2,4,5,3,2,2,4,4,3,4,3,4,2,3,3,4,3,4,5,5,5,5,5,5,5,3,4,,3
2017/12/29 上午 12:54:39,我本人,天秤座,4,2,3,3,3,3,3,4,3,4,4,3,3,2,3,3,3,2,2,4,3,4,4,4,3,3,3,2,3,3,形容詞可以再清楚一點,4
2017/12/29 上午 12:54:52,我本人,牡羊座,2,3,4,2,4,4,4,4,4,4,1,4,2,2,4,3,1,4,4,5,3,4,4,5,4,4,3,3,4,1,,1
2017/12/29 上午 12:55:01,我本人,金牛座,2,3,2,4,3,3,2,4,4,3,4,2,3,4,3,2,4,2,5,2,2,2,4,3,4,3,4,4,3,4,,1
2017/12/29 上午 12:55:27,我本人,雙魚座,3,3,1,4,5,3,2,2,3,4,4,5,5,5,4,2,5,4,5,4,4,4,4,5,5,4,5,5,3,5,可以加點內心或比較的題目（例如友情跟愛情二擇一之類的）,3
2017/12/29 上午 12:55:45,我本人,金牛座,4,2,3,3,4,2,5,3,1,3,3,3,2,4,3,5,5,5,5,1,1,5,5,5,3,5,5,1,3,2,辛苦你們了～,5
2017/12/29 上午 12:55:45,我本人,天蠍座,3,4,4,5,5,3,3,2,3,4,5,3,4,2,4,2,2,4,3,4,4,3,5,5,4,5,4,4,4,4,,2
2017/12/29 上午 12:55:59,我本人,牡羊座,2,4,2,2,4,4,5,3,2,4,4,5,3,4,2,1,5,1,5,5,5,5,5,5,2,4,5,5,4,5,,1
